Company	Website	Founder Name	Founder Profile	Email / LinkedIn	What they sell	Billing / Paddle?	Launch stage	Issue noticed	Date contacted	Replied?	Call booked?	Audit sent?	Paid?	Notes
ParityDeals	https://www.paritydeals.com	Sachin Neravath	https://in.linkedin.com/in/sachinchoolur	Founder LinkedIn	Flexible billing for AI & SaaS	Yes, billing/pricing infra	Early-stage, launched publicly in 2025	Public landing fetch was weak for review; trust/legal surface should be audited closely before outreach.						
KiloClaw	https://kilo.ai/kiloclaw	Scott Breitenother	https://www.linkedin.com/in/scottbreitenother	sales@kilo.ai	Managed autonomous AI assistant hosting	Yes, monthly plan + usage	Recently launched	Pricing is clear, but cancellation/billing detail is not obvious above the fold.						
monity.ai	https://monity.ai	Kamil Kowalczyk	https://www.producthunt.com/products/monity-ai	Founder LinkedIn / company page	AI-powered website change monitoring	Yes, pricing page exists	Early-stage, launched in 2025	Legal links exist in footer, but billing/refund clarity is not prominent on the homepage.						
TraceRoot.AI	https://traceroot.ai	Xinwei He	https://www.linkedin.com/in/xinwei-he-586512134	Founder LinkedIn	AI-native observability and debugging for engineering teams	Likely yes, SaaS motion	Early-stage, launched in 2025	Privacy/terms were not easily discoverable from the site fetch, so it is a strong audit candidate.						
CreatorKit	https://creatorkit.com	Kevin Natanzon	https://il.linkedin.com/in/kevinnatanzon	Founder LinkedIn	AI images and videos for marketers	Yes, subscription product	Active/growth stage	Terms and privacy are present, but refund/cancellation wording is not obvious from the homepage.						
Aidbase	https://www.aidbase.ai	Simon Hoiberg	https://ch.linkedin.com/in/simonhoiberg	Founder LinkedIn	AI-powered customer support for SaaS startups	Yes, pricing page exists	Active/growth stage	Legal links are present, but signup/billing expectations should be reviewed for clarity.						
ClarifyPDF / Bunni	https://clarifypdf.com	Farez Rahman	https://uk.linkedin.com/in/farez	Founder LinkedIn	Chat with PDF documents / summarize files	Billing not obvious from homepage	Launched, still lean	Privacy/terms were not visible in the homepage fetch, which makes it an easy audit opener.						
Rick AI	https://meetrick.ai	Vlad Podoliako	https://www.linkedin.com/in/chiefdata	Founder LinkedIn	AI COO / AI CEO style operations assistant for founders	Likely yes, SaaS pricing motion	Very early traction stage	Privacy/terms were not easily visible from the main site fetch.						
TryCoFounder	https://trycofounder.com	Mamoon Chowdry	LinkedIn link is on the site founder section	Site founder section / LinkedIn	AI accountability partner for solo founders	Waitlist stage, no live paid pricing shown	Pre-launch / beta waitlist	Strong positioning, but still pre-launch and waitlist-based. Good candidate for launch-readiness outreach.						
FoundrAI	https://foundrai.com	Vishwas Prasad	https://au.linkedin.com/in/vishwasnprasad	Founder LinkedIn	AI co-founder / startup validation and GTM planning	Yes, $59/mo shown publicly	Early-stage, live	Terms/privacy exist, but the sales page is dense and could still have trust/legal friction worth auditing.						
